TABREF KURSUS,Update: 16/01/2023,Unnamed: 2,Unnamed: 3,Unnamed: 4,Unnamed: 5,Unnamed: 6,Unnamed: 7,Unnamed: 8
,,,,,,,,
JENIS_KURSUS_ID,CEPAT_KODE,NAMA,,META DATA,,,,
8B91B70E3BA712E5E050640A29034DA5,2947,DIKLAT FUNGSIONAL PENGAWAS SEKOLAH,,,,,,
8B91B70E3BDE12E5E050640A29034DA5,3002,DIKLAT FUNGSIONAL PENGELOLA EKOSISTEM LAUT DAN PESISIR,,,,,,
8B91B70E3BE112E5E050640A29034DA5,3005,DIKLAT FUNGSIONAL PENGELOLA KESEHATAN IKAN,,,,,,
8B91B70E3C0912E5E050640A29034DA5,3045,DIKLAT FUNGSIONAL PENGELOLA PENGADAAN BARANG/JASA,,,,,,
8B91B70E3BE012E5E050640A29034DA5,3004,DIKLAT FUNGSIONAL PENGELOLA PRODUKSI PERIKANAN TANGKAP,,,,,,
8B91B70E3BA912E5E050640A29034DA5,2949,DIKLAT FUNGSIONAL PENGEMBANG TEKNOLOGI PEMBELAJARAN,,,,,,
8B91B70E3BD812E5E050640A29034DA5,2996,DIKLAT FUNGSIONAL PENGENDALI DAMPAK LINGKUNGAN,,,,,,
8B91B70E3BD512E5E050640A29034DA5,2993,DIKLAT FUNGSIONAL PENGENDALI EKOSISTEM HUKUM,,,,,,
DFCEE247A4A19AF2E050640AF10829CF,3158,DIKLAT FUNGSIONAL PENGENDALI EKOSISTEM HUTAN,,,,,,
8B91B70E3BEA12E5E050640A29034DA5,3014,DIKLAT FUNGSIONAL PENGENDALI FREKUENSI RADIO,,,,,,
8B91B70E3BDB12E5E050640A29034DA5,2999,DIKLAT FUNGSIONAL PENGENDALI HAMA DAN PENYAKIT IKAN,,,,,,
8B91B70E3B8F12E5E050640A29034DA5,2923,DIKLAT FUNGSIONAL PENGENDALI OPT,,,,,,
8B91B70E3BD112E5E050640A29034DA5,2989,DIKLAT FUNGSIONAL PENGGERAK SWADAYA MASYARAKAT,,,,,,
8B91B70E3BCA12E5E050640A29034DA5,2982,DIKLAT FUNGSIONAL PENGHULU,,,,,,
8B91B70E3B6812E5E050640A29034DA5,2884,DIKLAT FUNGSIONAL PENGUJI KENDARAAN BERMOTOR,,,,,,
8B91B70E3BD012E5E050640A29034DA5,2988,DIKLAT FUNGSIONAL PENGUJI KESELAMATAN DAN KESEHATAN KERJA (PENGUJI K3),,,,,,
8B91B70E3B8212E5E050640A29034DA5,2910,DIKLAT FUNGSIONAL PENGUJI MUTU BARANG,,,,,,
8B91B70E3BED12E5E050640A29034DA5,3017,DIKLAT FUNGSIONAL PENGUJI PERANGKAT TELEKOMUNIKASI,,,,,,
